customer_id,signup_date,country,loyalty_score
100000,2025-09-25,USA,0.103
100001,2025-02-22,Mexico,0.592
100002,2025-04-03,Russia,0.297
100003,2025-08-24,Mexico,0.316
100004,2025-01-22,Russia,0.05
100005,2025-06-03,USA,0.222
100006,2025-07-12,Russia,0.264
100007,2024-05-30,Russia,0.122
100008,2024-02-07,Mexico,0.156
100009,2024-07-20,Kazakhstan,0.096
100010,2024-07-09,Russia,0.044
100011,2025-08-08,Kazakhstan,0.422
100012,2025-09-03,Russia,0.356
100013,2024-01-04,Belarus,0.11
100014,2024-11-30,Mexico,0.415
100015,2025-07-04,USA,0.151
100016,2024-03-29,Russia,0.609
100017,2025-06-18,Belarus,0.11
100018,2024-03-20,USA,0.296
100019,2024-11-09,Kazakhstan,0.268
100020,2025-07-01,Mexico,0.268
100021,2024-07-22,Russia,0.253
100022,2024-08-16,USA,0.279
100023,2024-07-05,Belarus,0.267
100024,2025-04-27,USA,0.137
100025,2024-06-19,Mexico,0.098
100026,2025-10-25,USA,0.526
100027,2024-10-25,Russia,0.136
100028,2024-11-16,Mexico,0.362
100029,2024-12-04,Russia,0.426
100030,2025-01-25,Russia,0.514
100031,2025-01-05,Russia,0.255
100032,2024-12-07,Belarus,0.391
100033,2025-10-28,Mexico,0.106
100034,2025-06-25,USA,0.169
100035,2025-06-15,Russia,0.225
100036,2025-04-14,Russia,0.353
100037,2025-02-20,Russia,0.171
100038,2024-08-16,Mexico,0.284
100039,2025-10-24,Belarus,0.149
100040,2024-11-08,Kazakhstan,0.536
100041,2024-05-24,Mexico,0.197
100042,2025-07-20,Mexico,0.056
100043,2024-04-17,Russia,0.508
100044,2025-07-28,Russia,0.276
100045,2025-02-14,Kazakhstan,0.235
100046,2024-03-17,USA,0.387
100047,2024-01-30,Belarus,0.596
100048,2024-10-24,Russia,0.496
100049,2024-01-24,Kazakhstan,0.448
100050,2024-04-04,Kazakhstan,0.703
100051,2024-12-10,Belarus,0.772
100052,2025-10-12,Belarus,0.237
100053,2024-11-08,USA,0.119
100054,2025-06-25,Russia,0.156
100055,2025-09-06,Kazakhstan,0.273
100056,2025-07-05,Belarus,0.193
100057,2025-02-25,USA,0.14
100058,2024-10-22,Mexico,0.158
100059,2024-12-10,Kazakhstan,0.278
100060,2024-06-27,Mexico,0.536
100061,2024-11-28,Kazakhstan,0.409
100062,2024-09-11,USA,0.036
100063,2024-06-14,Russia,0.121
100064,2025-10-27,Russia,0.393
100065,2024-01-08,Mexico,0.115
100066,2024-03-06,Russia,0.479
100067,2024-05-08,USA,0.184
100068,2025-10-11,Belarus,0.293
100069,2025-04-08,Kazakhstan,0.559
100070,2025-08-13,Russia,0.165
100071,2024-05-14,Mexico,0.389
100072,2025-04-28,Russia,0.252
100073,2024-09-04,USA,0.496
100074,2024-11-23,USA,0.091
100075,2024-01-03,Russia,0.225
100076,2025-02-17,Russia,0.086
100077,2025-07-10,USA,0.517
100078,2025-03-20,Kazakhstan,0.266
100079,2024-04-13,Russia,0.581
100080,2024-12-23,Kazakhstan,0.332
100081,2024-06-28,Russia,0.36
100082,2025-10-08,Kazakhstan,0.26
100083,2025-08-12,Mexico,0.2
100084,2024-05-04,USA,0.399
100085,2024-12-07,Mexico,0.4
100086,2025-09-21,Russia,0.251
100087,2025-07-21,Kazakhstan,0.318
100088,2025-04-19,Kazakhstan,0.158
100089,2025-03-04,USA,0.261
100090,2024-01-29,Russia,0.275
100091,2025-05-11,Kazakhstan,0.105
100092,2024-11-13,USA,0.161
100093,2024-03-02,Kazakhstan,0.566
100094,2024-06-12,Russia,0.378
100095,2024-12-28,Belarus,0.291
100096,2025-05-01,Russia,0.347
100097,2024-12-06,USA,0.442
100098,2025-02-14,Russia,0.254
100099,2025-08-06,Russia,0.103
