month,country,revenue,orders,aov
2024-01,Belarus,110.79,3,36.93
2024-01,Kazakhstan,418.97,9,46.55
2024-01,Mexico,515.57,10,51.56
2024-01,Russia,1095.34,18,60.85
2024-01,USA,894.74,11,81.34
2024-02,Belarus,729.64,11,66.33
2024-02,Kazakhstan,713.05,12,59.42
2024-02,Mexico,1302.98,20,65.15
2024-02,Russia,1138.92,15,75.93
2024-02,USA,565.56,9,62.84
2024-03,Belarus,399.6,6,66.6
2024-03,Kazakhstan,761.17,10,76.12
2024-03,Mexico,1481.49,23,64.41
2024-03,Russia,1617.46,29,55.77
2024-03,USA,978.61,12,81.55
2024-04,Belarus,112.6,2,56.3
2024-04,Kazakhstan,1263.64,17,74.33
2024-04,Mexico,1228.12,21,58.48
2024-04,Russia,1656.88,29,57.13
2024-04,USA,902.33,13,69.41
2024-05,Belarus,509.52,12,42.46
2024-05,Kazakhstan,1287.78,25,51.51
2024-05,Mexico,1218.24,22,55.37
2024-05,Russia,2289.25,32,71.54
2024-05,USA,1910.09,32,59.69
2024-06,Belarus,263.27,6,43.88
2024-06,Kazakhstan,887.93,13,68.3
2024-06,Mexico,1065.64,19,56.09
2024-06,Russia,2649.03,44,60.21
2024-06,USA,1441.48,26,55.44
2024-07,Belarus,792.64,9,88.07
2024-07,Kazakhstan,694.26,16,43.39
2024-07,Mexico,1274.78,24,53.12
2024-07,Russia,3048.5,46,66.27
2024-07,USA,1138.18,17,66.95
2024-08,Belarus,335.12,6,55.85
2024-08,Kazakhstan,629.31,10,62.93
2024-08,Mexico,1566.38,24,65.27
2024-08,Russia,2111.3,30,70.38
2024-08,USA,1211.27,15,80.75
2024-09,Belarus,785.05,12,65.42
2024-09,Kazakhstan,751.02,16,46.94
2024-09,Mexico,1867.59,30,62.25
2024-09,Russia,2214.55,43,51.5
2024-09,USA,1504.7,21,71.65
2024-10,Belarus,909.3,15,60.62
2024-10,Kazakhstan,1216.75,19,64.04
2024-10,Mexico,1552.53,23,67.5
2024-10,Russia,2978.29,44,67.69
2024-10,USA,1656.27,25,66.25
2024-11,Belarus,1339.98,18,74.44
2024-11,Kazakhstan,2414.8,39,61.92
2024-11,Mexico,3161.2,45,70.25
2024-11,Russia,3692.01,68,54.29
2024-11,USA,2638.24,41,64.35
2024-12,Belarus,918.47,17,54.03
2024-12,Kazakhstan,2217.64,37,59.94
2024-12,Mexico,2919.14,47,62.11
2024-12,Russia,4390.19,75,58.54
2024-12,USA,1184.48,29,40.84
2025-01,Belarus,726.97,10,72.7
2025-01,Kazakhstan,795.15,15,53.01
2025-01,Mexico,1800.24,25,72.01
2025-01,Russia,3430.34,51,67.26
2025-01,USA,637.65,12,53.14
2025-02,Belarus,653.9,10,65.39
2025-02,Kazakhstan,1471.14,21,70.05
2025-02,Mexico,1173.23,21,55.87
2025-02,Russia,2272.24,41,55.42
2025-02,USA,930.56,19,48.98
2025-03,Belarus,626.43,10,62.64
2025-03,Kazakhstan,1466.1,23,63.74
2025-03,Mexico,2508.65,39,64.32
2025-03,Russia,2894.31,52,55.66
2025-03,USA,1558.36,21,74.21
2025-04,Belarus,848.85,12,70.74
2025-04,Kazakhstan,1220.07,19,64.21
2025-04,Mexico,1854.36,31,59.82
2025-04,Russia,3800.01,55,69.09
2025-04,USA,1007.18,15,67.15
2025-05,Belarus,640.37,13,49.26
2025-05,Kazakhstan,1541.96,24,64.25
2025-05,Mexico,2267.98,41,55.32
2025-05,Russia,4207.58,68,61.88
2025-05,USA,2140.74,28,76.45
2025-06,Belarus,836.0,14,59.71
2025-06,Kazakhstan,831.03,16,51.94
2025-06,Mexico,2397.57,43,55.76
2025-06,Russia,3137.78,51,61.53
2025-06,USA,1132.94,18,62.94
2025-07,Belarus,938.15,12,78.18
2025-07,Kazakhstan,644.16,14,46.01
2025-07,Mexico,1939.71,33,58.78
2025-07,Russia,4236.1,66,64.18
2025-07,USA,2087.04,34,61.38
2025-08,Belarus,706.98,14,50.5
2025-08,Kazakhstan,1270.86,17,74.76
2025-08,Mexico,1499.69,27,55.54
2025-08,Russia,3736.52,56,66.72
2025-08,USA,1522.37,28,54.37
2025-09,Belarus,538.59,9,59.84
2025-09,Kazakhstan,634.62,13,48.82
2025-09,Mexico,3091.39,47,65.77
2025-09,Russia,3764.2,60,62.74
2025-09,USA,1605.63,27,59.47
2025-10,Belarus,545.34,11,49.58
2025-10,Kazakhstan,1050.1,17,61.77
2025-10,Mexico,2555.78,39,65.53
2025-10,Russia,4148.27,67,61.91
2025-10,USA,1576.79,21,75.09
2025-11,Belarus,576.95,11,52.45
2025-11,Kazakhstan,1200.48,15,80.03
2025-11,Mexico,1847.53,30,61.58
2025-11,Russia,2932.3,47,62.39
2025-11,USA,1232.23,24,51.34
2025-12,Belarus,550.53,9,61.17
2025-12,Kazakhstan,1128.39,17,66.38
2025-12,Mexico,1631.03,31,52.61
2025-12,Russia,3211.18,55,58.39
2025-12,USA,2144.88,30,71.5
